predict1 directory,AWS Bucket,Incremental Backup Frequency,Full Backup Frequency,Server,Method
dpstage-mongo-keys,predict1-software,90,0,,duply
rc-predict-dev-mongo-keys,predict1-software,,,,
rc-predict-mongo-keys,predict1-software,,,,
aws-cli,predict1-software,,,,
utility,predict1-software,,,,
software,predict1-software,,,,
miniconda3,predict1-software,,,,
dpimport,predict1-software,,,,
data_from_nda_dev,predict1-dev-data,,180,,
home,predict1-home,,180,,
to_nda,predict1-sub-data,,180,,
data_from_nda/Pronet,predict1-pronet,,180,,s3 sync
data_from_nda/Prescient,predict1-prescient,,180,,s3 sync
data_from_nda/MRI_ROOT,predict1-mri-root,,180,,s3 sync
data_from_nda/*,predict1-miscellaneous,,180,,s3 sync
